time,speed_mps,throttle,steer,brake,x,y,z,pitch,yaw,roll
57.35,9.047346013249677e-06,0.0,-0.005724529270082712,1.0,-113.6353988647461,-7.3207106590271,-0.004697227384895086,-0.0009152452694252133,91.02332305908203,0.0
57.4,9.198482319494452e-06,0.0,-0.005724529270082712,1.0,-113.63540649414062,-7.320709705352783,-0.004697761498391628,-0.0007649811450392008,91.02332305908203,0.0
57.45,8.399961363420168e-06,0.0,-0.005724529270082712,1.0,-113.63540649414062,-7.320708274841309,-0.004698219243437052,-0.0006420377176254988,91.02332305908203,0.0
57.5,7.265235166659087e-06,0.0,-0.005724529270082712,1.0,-113.63540649414062,-7.320707321166992,-0.0046987151727080345,-0.0005190943484194577,91.02332305908203,0.0
57.55,6.085240453544834e-06,0.0,-0.005694050341844559,1.0,-113.63540649414062,-7.320705890655518,-0.00469905836507678,-0.0003961509501095861,91.02332305908203,-1.3027551259980896e-11
57.6,5.0338412397041454e-06,0.0,-0.005694050341844559,1.0,-113.63540649414062,-7.320705890655518,-0.00469905836507678,-0.0003961509501095861,91.02332305908203,-1.3027551259980896e-11
57.65,4.08626334017891e-06,0.0,-0.005694050341844559,1.0,-113.63540649414062,-7.320704936981201,-0.00469970703125,-0.00027320755179971457,91.02332305908203,0.0
57.7,1.359136492644656e-06,0.0,-0.005694050341844559,1.0,-113.63540649414062,-7.320704936981201,-0.00469970703125,-0.00027320755179971457,91.02332305908203,0.0
57.75,2.0862722541103787e-06,0.0,-0.005700819194316864,1.0,-113.63540649414062,-7.320704936981201,-0.00469970703125,-0.00027320755179971457,91.02332305908203,0.0
57.8,2.3180347088624847e-06,0.0,-0.005700819194316864,1.0,-113.63540649414062,-7.320704936981201,-0.00469970703125,-0.00027320755179971457,91.02332305908203,0.0
57.85,2.0571089733416266e-06,0.0,-0.005700819194316864,1.0,-113.63540649414062,-7.320703506469727,-0.004700088407844305,-0.00015709434228483588,91.02332305908203,0.0
57.9,1.9607558837432203e-06,0.0,-0.005700819194316864,1.0,-113.63540649414062,-7.320703506469727,-0.004700088407844305,-0.00015709434228483588,91.02332305908203,0.0
57.95,1.6900239617255848e-06,0.0,-0.005700819194316864,1.0,-113.63540649414062,-7.320703506469727,-0.004700088407844305,-0.00015709434228483588,91.02332305908203,0.0
